suburbname,postcode
TUMUT PLAINS,2720.0
ELLANGOWAN,2470.0
SHANNON BROOK,2470.0
LOUISA CREEK,2469.0
PACKSADDLE,2880.0
CUBBA,2835.0
DILPURRA,2734.0
WAUGORAH,2711.0
MORAGO,2710.0
HARTWOOD,2710.0
THE MARRA,2831.0
NYMAGEE,2831.0
BUDDABADAH,2825.0
THE GULF,2365.0
WANDSWORTH,2365.0
JACKADGERY,2460.0
YARROWFORD,2370.0
PUNCHBOWL,2460.0
STOCKYARD CREEK,2460.0
CANGAI,2460.0
MOOGEM,2370.0
COALDALE,2460.0
MORVEN,2370.0
EIGHTEEN MILE,2460.0
KEYBARBIN,2469.0
CLEARFIELD,2469.0
BIDGEEMIA,2642.0
FRENCH PARK,2655.0
COLLINGULLIE,2650.0
PIGEONBAH,2824.0
FAIRHOLME,2871.0
ARTHURVILLE,2820.0
WALMER,2820.0
YETMAN,2410.0
SWANBROOK,2360.0
BERRIGAL,2390.0
WIMBORNE,2346.0
THE BASIN,2365.0
ARDING,2358.0
WALCHA ROAD,2354.0
BROCKLEY,2365.0
MIHI,2358.0
WOOLOMIN,2340.0
BORAMBIL,2343.0
BRAEFIELD,2339.0
MIRANNIE,2330.0
HOLLYDEEN,2328.0
OBANVALE,2330.0
DURAL,2330.0
LAKE ILLAWARRA,2528.0
KIANGA,2546.0
STANWELL PARK,2508.0
NUMBLA VALE,2628.0
PAGES RIVER,2338.0
ALICE,2469.0
BILLYS CREEK,2453.0
TARA,2665.0
STANHOPE GARDENS,2768.0
CREMORNE POINT,2090.0
GREENGROVE,2250.0
MAGOMETON,2829.0
MULLAWAY,2456.0
ARRAWARRA HEADLAND,2456.0
MOGILLA,2550.0
STROUD HILL,2420.0
ABERDARE,2325.0
KENTUCKY SOUTH,2354.0
TANNAS MOUNT,2795.0
COPACABANA,2251.0
EMPIRE BAY,2257.0
GOSFORD,2250.0
KARIONG,2250.0
WEST GOSFORD,2250.0
KILLCARE,2257.0
PEARL BEACH,2256.0
MOUNT KURING-GAI,2080.0
EAST LINDFIELD,2070.0
RIVERVIEW,2066.0
BALMAIN EAST,2041.0
DENISTONE EAST,2112.0
BOTANY BAY,
ROSEBERY,2018.0
LA PEROUSE,2036.0
SOUTH COOGEE,2034.0
DARLINGTON,2008.0
REDFERN,2016.0
ZETLAND,2017.0
TAREN POINT,2229.0
YARRAWARRAH,2233.0
OTFORD,2508.0
BONDI BEACH,2026.0
DARKES FOREST,2508.0
STANWELL TOPS,2508.0
BELIMBLA PARK,2570.0
MOUNTAIN LAGOON,2758.0
LAWSON,2783.0
NATTAI,2570.0
LITTLETON,2790.0
SHEEDYS GULLY,2790.0
VALE OF CLWYDD,2790.0
WRIGHTS CREEK,2775.0
UPPER MANGROVE,2250.0
MOGO CREEK,2775.0
BAR BEACH,2300.0
THE HILL,2300.0
WARABROOK,2304.0
METFORD,2323.0
NEATH,2326.0
TEA GARDENS,2324.0
BALICKERA,2324.0
MOUNT THORLEY,2330.0
MOUNT PLEASANT,2519.0
CONISTON,2500.0
KANAHOOKA,2530.0
CUTTABRI,2388.0
WEAN,2382.0
HAMILTON VALLEY,2641.0
ANGLERS REACH,2629.0
BRUNGLE,2722.0
TUMORRAMA,2720.0
ETTREMA,2540.0
TOUGA,2622.0
REIDSDALE,2622.0
DEPOT BEACH,2536.0
CARLAMINDA,2630.0
PINE VALLEY,2630.0
BINJURA,2630.0
POLO FLAT,2630.0
BUDGEWOI PENINSULA,2262.0
MELBERGEN,2669.0
WEST WYALONG,2671.0
MULYANDRY,2871.0
WYALONG,2671.0
CURRAGH,2795.0
ALLEENA,2671.0
WATTON,2795.0
GREEN GULLY,2850.0
MILLAH MURRAH,2795.0
MOUNT PANORAMA,2795.0
WINDRADYNE,2795.0
BALLYROE,2795.0
TARALGA,2580.0
GURNANG,2787.0
PALMERS OAKY,2795.0
DUNGEREE,2849.0
DUNVILLE LOOP,2849.0
COXS CROWN,2849.0
GROWEE,2849.0
MARKS POINT,2280.0
PEBBLY BEACH,2536.0
PREMER,2381.0
BUNGABA,2852.0
COGGAN,2849.0
LEE CREEK,2849.0
BAERAMI,2333.0
DRY CREEK,2337.0
WAVERLY,2337.0
SCOTTS CREEK,2338.0
BARRY,2340.0
SANDY CREEK,2338.0
GLENROCK,2337.0
CARRABOLLA,2311.0
GIRO,2422.0
MARES RUN,2422.0
BAXTERS RIDGE,2422.0
BINDERA,2422.0
KIA ORA,2422.0
CAPARRA,2429.0
BOBIN,2429.0
DEBENHAM,2446.0
YARROWITCH,2354.0
BIRDWOOD,2446.0
PAPPINBARRA,2446.0
BANDA BANDA,2446.0
MANNING POINT,2430.0
MIDDLE BROTHER,2443.0
HYNDMANS CREEK,2446.0
DEAUVILLE,2443.0
CARRAI,2440.0
HICKEYS CREEK,2440.0
YANTABULLA,2840.0
WALLAMORE,2340.0
REPENTANCE CREEK,2480.0
EDENVILLE,2474.0
SMITHS CREEK,2474.0
BEAN CREEK,2469.0
TOOLOOM,2475.0
SHERWOOD,2474.0
OLD GREVILLIA,2474.0
UNUMGAR,2474.0
BROOMS HEAD,2463.0
WHIPORIE,2469.0
DIRTY CREEK,2456.0
ARRAWARRA,2456.0
RAMORNIE,2460.0
SHANNONDALE,2460.0
CLOUDS CREEK,2453.0
BRINERVILLE,2454.0
MACKSVILLE,2447.0
MYLESTOM,2454.0
SALISBURY,2420.0
BLUEYS BEACH,2428.0
DIGGERS CAMP,2462.0
MORTS ESTATE,2790.0
MAYFIELD,2787.0
PANUARA,2800.0
CANADIAN LEAD,2850.0
WHITTON,2705.0
CUDGEL,2700.0
LOGIE BRAE,2713.0
LOWESDALE,2646.0
MUNYABLA,2658.0
URANGELINE EAST,2656.0
SHARPS CREEK,2729.0
MURRULEBALE,2652.0
SEBASTOPOL,2666.0
MERRIANGAAH,2632.0
ROCKY HALL,2550.0
TANTAWANGALO,2550.0
DOCTOR GEORGE MOUNTAIN,2550.0
MOGAREEKA,2550.0
CORUNNA,2546.0
MERRICUMBENE,2622.0
WANDELLA,2550.0
WAYO,2580.0
BOMBAY,2622.0
WEE JASPER,2582.0
QUEANBEYAN,2620.0
GREENRIDGE,2471.0
JACKSONS FLAT,2469.0
DEEP CREEK,2469.0
UNDERBANK,2420.0
WALLARINGA,2420.0
FLAT TOPS,2420.0
TIBOOBURRA,2880.0
MUTAWINTJI,2880.0
KULWIN,2835.0
MALLAN,2734.0
DHURAGOON,2733.0
MOONBRIA,2710.0
LINDIFFERON,2710.0
BABINDA,2825.0
LAKE BREWSTER,2675.0
NEWTON BOYD,2370.0
MAYBOLE,2365.0
GLEN INNES,2370.0
GIBRALTAR RANGE,2370.0
GLEN ELGIN,2370.0
CAPOOMPETA,2371.0
MOUNT MARSH,2469.0
LIONSVILLE,2460.0
KIPPENDUFF,2469.0
SIX MILE SWAMP,2469.0
BLACK CREEK,2729.0
ASHMONT,2650.0
CARTWRIGHTS HILL,2650.0
SAN ISIDORE,2650.0
TOLLAND,2650.0
OSBORNE,2656.0
OXLEY,2824.0
RAVENSWOOD,2824.0
MULLA,2825.0
CANONBA,2825.0
CUNDUMBUL,2866.0
ATHOLWOOD,2361.0
HOWELL,2360.0
PINDAROI,2361.0
UPPER HORTON,2347.0
IRONBARK,2347.0
THIRLDENE,2347.0
RETREAT,2355.0
BRIARBROOK,2365.0
UPPER BINGARA,2404.0
BALD BLAIR,2365.0
YARRAMAN,2343.0
WILLOW TREE,2339.0
BIG JACKS CREEK,2339.0
MOUNT ROYAL,2330.0
COMBO,2330.0
HAMBLEDON HILL,2330.0
HOWICK,2330.0
CORDEAUX HEIGHTS,2526.0
PAUPONG,2628.0
GUERILLA BAY,2536.0
NORTH NAROOMA,2546.0
RANGARI,2380.0
UPPER CORINDI,2456.0
DOCTORS GAP,2790.0
BERLANG,2622.0
THE PINNACLES,2460.0
WOODCROFT,2767.0
SANDBAR,2428.0
MOUNT ELLIOT,2250.0
WINDY,2343.0
PALM GROVE,2258.0
CADGEE,2545.0
PRIMROSE VALLEY,2621.0
KAMERUKA,2550.0
CAMBRIDGE PLATEAU,2469.0
TOPI TOPI,2423.0
CHATSBURY,2580.0
NUNGATTA SOUTH,2551.0
WATSONS CREEK,2355.0
BROBENAH,2705.0
WANDERA,2360.0
BOSTOBRICK,2453.0
CASCADE,2453.0
MILROY,2380.0
CRESTWOOD,2620.0
BRIERFIELD,2454.0
BULYEROI,2387.0
NOWENDOC,2354.0
DUNBOGAN,2443.0
BOCOBRA,2865.0
BUMBERRY,2870.0
COTTONVALE,4375.0
BOOKOOKOORARA,2372.0
STONEQUARRY,2580.0
RICHLANDS,2580.0
BOURNEWOOD,2868.0
ELIZABETH HILLS,2171.0
RYLSTONE,2849.0
SOUTH WENTWORTHVILLE,2145.0
TOMKI,2470.0
WEST BUNGAWALBIN,2471.0
STANBOROUGH,2360.0
WHEELER HEIGHTS,2097.0
WHALE BEACH,2107.0
MCCARRS CREEK,2105.0
BILGOLA BEACH,2107.0
BARWANG,2594.0
LILLI PILLI,2229.0
WOG WOG,2550.0
PORTLAND,2847.0
DARK CORNER,2795.0
CARINDA,2831.0
GUNGALMAN,2829.0
PADDYS FLAT,2632.0
YOWRIE,2550.0
BELOWRA,2545.0
WADBILLIGA,2546.0
MILVALE,2594.0
WOODHOUSELEE,2580.0
CRAWNEY,2338.0
RUNNING STREAM,2850.0
MOORWATHA,2640.0
KAINS FLAT,2850.0
MOWBRAY PARK,2571.0
BLACK HOLLOW,2828.0
JIMENBUEN,2628.0
PEAKHURST HEIGHTS,2210.0
TANTANGARA,2629.0
FOREST GROVE,2795.0
CAPERTEE,2846.0
ARGALONG,2720.0
NEW VALLEY,2365.0
MORTDALE,2223.0
MINDARIBBA,2320.0
MAFFRA,2630.0
GAREMA,2871.0
BATHAMPTON,2795.0
PARKVILLE,2337.0
GOOBARRAGANDRA,2720.0
JONES BRIDGE,2720.0
MUNNI,2420.0
TENTERDEN,2365.0
LENAGHAN,2322.0
TOCAL,2421.0
BUNGARBY,2630.0
CATHCART,2632.0
BLOWERING,2720.0
BIMBERI,2611.0
PIORA,2470.0
BANDON GROVE,2420.0
WOMBAT CREEK,2460.0
BOREE,2800.0
COOLEMAN,2611.0
MILSONS POINT,2061.0
TOONGABBIE,2146.0
YAOUK,2629.0
ROUND SWAMP,2846.0
ROUCHEL BROOK,2336.0
HUMULA,2652.0
BRINDABELLA,2611.0
WERMATONG,2720.0
SMITHS CREEK,2460.0
CHILCOTTS CREEK,2339.0
LIDDELL,2333.0
LAVENDER BAY,2060.0
BIGGA,2583.0
WIRRINYA,2871.0
CHARLTON,2795.0
SMEATON GRANGE,2567.0
WEBBERS CREEK,2421.0
KEMBLA HEIGHTS,2526.0
BUNNAN,2337.0
OWENS GAP,2337.0
MATHESON,2370.0
BULLA CREEK,2594.0
SANDIGO,2700.0
